   Station  Lat[deg]  Lon[deg] Epdis[km]   East[m]  North[m]     Up[m]   RbserrE   RbserrN   RbserrU
4611        37.7472  37.2843   33.170   -0.008   -0.010   -0.005   0.0456   0.0349   0.0250
4614        37.4851  37.2977   62.160   -0.041   -0.016    0.000   0.0844   0.0303   0.0178
4409        38.5606  37.4908   62.793    0.002    0.000   -0.004   0.0324   0.0318   0.0199
4612        38.0239  36.4819   63.970   -0.019   -0.001   -0.008   0.1278   0.1253   0.0510
0213        37.7967  37.9296   68.515    0.018    0.040    0.000   0.0643   0.0665   0.0290
4406        38.3439  37.9738   74.661   -0.032   -0.025    0.021   0.0722   0.0803   0.0547
5807        38.7269  37.2475   76.442    0.007    0.004    0.003   0.0500   0.0321   0.0240
0129        38.2592  36.2109   90.869    0.002   -0.013    0.000   0.0420   0.0231   0.0229
4613        37.5701  36.3574   91.472    0.001    0.005    0.012   0.0410   0.0281   0.0287
0131        37.8566  36.1153   98.302    0.001   -0.004   -0.006   0.0337   0.0516   0.0381
4410        38.8668  37.6790  100.528    0.023   -0.012   -0.008   0.0548   0.0247   0.0199
4412        38.5969  38.1838  104.987   -0.017   -0.025   -0.001   0.0911   0.1082   0.1024
3804        38.7227  36.3779  105.112   -0.001   -0.001    0.002   0.0179   0.0186   0.0123
2703        37.0580  37.3500  109.869    0.016   -0.004   -0.006   0.0555   0.0261   0.0143
8002        37.1916  36.5620  110.350    0.015   -0.006    0.002   0.0372   0.0178   0.0162
0134        37.7443  35.8645  122.730    0.011    0.000    0.005   0.0340   0.0177   0.0321
0122        37.4339  35.8202  139.716   -0.004    0.001    0.002   0.0288   0.0217   0.0205
5805        39.2730  36.7470  142.925   -0.005    0.003   -0.005   0.0243   0.0249   0.0118
4404        38.1959  38.8739  146.414    0.003    0.002    0.001   0.0238   0.0205   0.0229
2310        38.5727  38.8245  152.657   -0.001   -0.000   -0.003   0.0155   0.0215   0.0178
3803        38.3949  35.4791  156.446   -0.004    0.002   -0.001   0.0195   0.0147   0.0147
0144        37.7310  35.4597  157.570    0.011    0.015    0.010   0.0279   0.0248   0.0192
3801        38.6896  35.4999  165.824   -0.000   -0.007   -0.000   0.0274   0.0385   0.0149
